case_id,multi_poly,eia_id,p_state,p_county,ylat,xlong,p_area,p_img_date,p_dig_conf,p_name,p_year,p_pwr_reg,p_tech_pri,p_tech_sec,p_axis,p_azimuth,p_tilt,p_battery,p_cap_ac,p_cap_dc,p_type,p_agrivolt,p_zscore
403686,single,63500,OK,Murray,34.479,-97.106832,106260,20220413,4,Chickasaw Nation Solar Farm,2020,SWPP,PV,c-si,single-axis,180,0,,5,6.1,greenfield,non-agrivoltaic,-0.262577
404220,single,64473,OK,Cleveland,35.226508,-97.360521,38678,20220215,4,Norman Solar,2021,SWPP,PV,,single-axis,180,,,5,2.8,greenfield,non-agrivoltaic,0.054927
401635,single,60331,OR,Malheur,44.150366,-117.000996,275558,20220821,4,"Hyline Solar Center, LLC",2016,IPCO,PV,c-si,single-axis,180,0,,9,11.7,greenfield,non-agrivoltaic,-0.579252
401638,single,60334,OR,Malheur,43.932783,-116.988348,283288,20220522,4,"Thunderegg Solar Center, LLC",2016,IPCO,PV,c-si,single-axis,180,0,,10,13,greenfield,non-agrivoltaic,-0.506574
400404,multi,58150,OR,Lake,42.175092,-120.362663,80061,20200730,4,Black Cap Solar Plant,2012,PACW,PV,c-si,single-axis,180,0,,2,2.6,greenfield,non-agrivoltaic,-0.790778
401788,multi,60548,OR,Deschutes,44.068482,-121.228347,204128,20200218,4,"NorWest Energy 2, LLC",2016,PACW,PV,c-si,single-axis,180,0,,9.9,14,greenfield,non-agrivoltaic,-0.025754
402074,single,60976,OR,Deschutes,44.059598,-121.229434,226570,20200218,4,"OSLH, LLC",2016,PACW,PV,c-si,single-axis,180,0,,9.9,10.4,greenfield,non-agrivoltaic,-0.506315
402115,single,61048,OR,Crook,44.185237,-120.916008,1234450,20210808,4,Solar Star Oregon II,2017,PACW,PV,c-si,single-axis,180,0,,56,69.5,greenfield,non-agrivoltaic,-0.286009
402460,multi,61580,OR,Deschutes,44.19398,-121.23007,215153,20210109,4,"Tumbleweed Solar, LLC",2017,PACW,PV,c-si,fixed-tilt,180,28,,9.9,14,greenfield,non-agrivoltaic,-0.100212
402445,multi,61560,OR,Jackson,42.400782,-122.830308,145980,20210312,4,Eagle Point Solar,2017,PACW,PV,c-si,single-axis,180,0,,9.9,13.1,greenfield,es,0.422422
402503,single,61631,OR,Klamath,42.611487,-121.862597,235881,20220719,4,"Chiloquin Solar, LLC",2018,PACW,PV,c-si,fixed-tilt,180,28,,9.9,14,greenfield,non-agrivoltaic,-0.221357
402392,single,61496,OR,Jefferson,44.673117,-121.125151,246831,20210809,4,Adams Solar Center,2018,PACW,PV,c-si,single-axis,180,0,,10,13.1,greenfield,non-agrivoltaic,-0.354391
402289,single,61345,OR,Sherman,45.587263,-120.595798,336995,20210430,4,WyEast Solar,2018,AVRN,PV,c-si,single-axis,180,0,,10,13,greenfield,non-agrivoltaic,-0.66152
402393,single,61497,OR,Jefferson,44.61898,-121.206217,276028,20220903,4,Elbe Solar Center,2018,PACW,PV,c-si,single-axis,180,0,,10,13.1,greenfield,non-agrivoltaic,-0.473327
402903,multi,62241,OR,Umatilla,45.68081,-118.850601,125922,20220628,4,"NorWest Energy 9, LLC",2018,PACW,PV,c-si,fixed-tilt,181,20,,6,8.4,greenfield,non-agrivoltaic,-0.065509
402244,multi,61281,OR,Deschutes,44.06044,-121.238169,255434,20200218,4,Bear Creek Solar Center,2018,PACW,PV,c-si,single-axis,180,0,,10,13.1,greenfield,non-agrivoltaic,-0.392261
401634,multi,60330,OR,Malheur,43.936046,-117.384902,185518,20210907,4,"Grove Solar Center, LLC",2016,IPCO,PV,c-si,single-axis,180,0,,6,7.8,greenfield,non-agrivoltaic,-0.588042
401636,multi,60332,OR,Malheur,43.796958,-117.06293,307234,20220522,4,"Open Range Solar Center, LLC",2016,IPCO,PV,c-si,single-axis,180,0,,10,13,greenfield,non-agrivoltaic,-0.582351
401639,multi,60335,OR,Malheur,43.961698,-117.259276,246560,20220724,4,"Vale Air Solar Center, LLC",2016,IPCO,PV,c-si,single-axis,180,0,,10,13,greenfield,non-agrivoltaic,-0.361748
402200,single,61201,OR,Klamath,42.022228,-121.425629,265515,20220322,4,"OR Solar 3, LLC",2017,PACW,PV,c-si,single-axis,180,0,,10,13.2,greenfield,non-agrivoltaic,-0.425536
402340,single,61424,OR,Klamath,42.239049,-121.58562,365404,20220322,4,"OR Solar 8, LLC",2018,PACW,PV,c-si,single-axis,180,0,,10,13.9,greenfield,non-agrivoltaic,-0.672879
402444,single,61559,OR,Klamath,42.236037,-121.577258,213189,20210516,4,Woodline Solar,2017,PACW,PV,c-si,single-axis,180,0,,8,11.1,greenfield,non-agrivoltaic,-0.37571
402346,single,61430,OR,Lake,42.211172,-120.371519,272534,20200730,4,"OR Solar 6, LLC",2017,PACW,PV,c-si,single-axis,180,0,,10,13.7,greenfield,non-agrivoltaic,-0.413793
402922,single,62272,OR,Klamath,42.37664,-121.020118,280046,20100904,4,Bly Solar Center,2018,PACW,PV,c-si,single-axis,180,0,,8,11,greenfield,non-agrivoltaic,-0.646626
402921,multi,62268,OR,Klamath,42.207084,-121.351576,146590,20210516,4,"NorWest Energy 4, LLC",2019,PACW,PV,c-si,single-axis,180,0,,5.6,6.8,greenfield,non-agrivoltaic,-0.496019
403069,multi,62560,OR,Lake,42.166668,-120.409479,1106546,20200730,4,Airport Solar,2019,PACW,PV,c-si,single-axis,180,,,47.3,61,greenfield,non-agrivoltaic,-0.310884
400223,single,57652,OR,Yamhill,45.10838,-123.278175,28592,20200310,4,"Yamhill Solar, LLC",2011,PGE,PV,c-si,fixed-tilt,175,28,,1,1.2,greenfield,non-agrivoltaic,-0.589608
400147,single,57372,OR,Yamhill,45.112295,-123.234291,38349,20200310,4,Bellevue Solar Project,2011,PGE,PV,c-si,fixed-tilt,97,43,,1.6,1.7,greenfield,non-agrivoltaic,-0.539625
400322,single,57882,OR,Clackamas,45.269653,-122.771784,25882,20220128,4,Baldock Solar Highway,2012,PGE,PV,c-si,fixed-tilt,180,21,,1.7,1.7,greenfield,non-agrivoltaic,-0.087231
400396,single,58131,OR,Lake,43.235275,-120.486327,142362,20210925,4,Outback Solar at Christmas Valley,2012,BPAT,PV,c-si,single-axis,180,0,,4.4,5.7,greenfield,non-agrivoltaic,-0.630534
400822,single,58961,OR,Klamath,42.260185,-121.785776,23868,20210516,4,Oregon University System OIT Klamath Falls,2014,PACW,PV,c-si,fixed-tilt,220,35,,2,2,greenfield,non-agrivoltaic,0.296502
401028,multi,59374,OR,Klamath,42.408186,-121.043107,141802,20210723,4,Old Mill Solar,2015,PACW,PV,c-si,single-axis,180,0,,5,6.8,greenfield,non-agrivoltaic,-0.462835
401302,multi,59790,OR,Benton,44.566239,-123.295743,27845,20200720,4,Oregon University System Rabbit Field,2014,PACW,PV,c-si,fixed-tilt,180,20,,1.2,1.4,greenfield,crop,-0.413599
401475,single,60057,OR,Polk,45.067675,-123.470971,36732,20220305,4,"Steel Bridge Solar, LLC",2016,PGE,PV,c-si,fixed-tilt,182,25,,2.3,2.9,greenfield,non-agrivoltaic,0.193879
401637,single,60333,OR,Malheur,43.999105,-117.100477,129799,20220724,4,"Railroad Solar Center, LLC",2016,IPCO,PV,c-si,single-axis,180,0,,4.5,5.8,greenfield,non-agrivoltaic,-0.532109
401830,multi,60616,OR,Lake,42.172667,-120.362524,228710,20200730,4,BC Solar,2016,PACW,PV,c-si,single-axis,180,0,,8,10.5,greenfield,non-agrivoltaic,-0.506151
402199,multi,61200,OR,Jackson,42.521494,-122.828455,233795,20200920,4,"OR Solar 2, LLC",2020,PACW,PV,c-si,single-axis,180,0,,10,12.8,greenfield,non-agrivoltaic,-0.318881
402284,multi,61338,OR,Yamhill,45.168553,-123.135107,22372,20210411,4,Mill Creek Solar (OR),2017,PGE,PV,c-si,fixed-tilt,180,15,,2.2,3.2,greenfield,non-agrivoltaic,1.551582
402438,multi,61553,OR,Klamath,42.182954,-121.763455,104971,20210516,2,Klamath Falls Solar 2 (CSG),2017,PACW,PV,c-si,single-axis,180,0,,2.9,3.9,greenfield,non-agrivoltaic,-0.691671
402625,single,61827,OR,Yamhill,45.169611,-123.13626,11161,20210411,4,Dayton Cutoff Solar,2017,PGE,PV,c-si,fixed-tilt,180,15,,2.2,2.9,greenfield,non-agrivoltaic,4.026031
402626,multi,61828,OR,Polk,45.03301,-123.09691,38384,20200901,4,Valley Creek Solar,2017,PGE,PV,c-si,fixed-tilt,180,20,,2.2,3.1,greenfield,crop,0.232263
402627,single,61829,OR,Marion,45.014302,-122.807152,43551,20210627,4,Silverton Solar,2017,PGE,PV,c-si,fixed-tilt,180,25,,2.2,3.1,greenfield,non-agrivoltaic,0.029243
402628,single,61830,OR,Marion,44.827488,-122.948339,53668,20210317,4,Sheep Solar,2017,PGE,PV,c-si,fixed-tilt,180,30,,2.2,3.1,greenfield,non-agrivoltaic,-0.255031
402629,single,61831,OR,Clackamas,45.170298,-122.472865,34120,20210514,4,Colton Solar,2017,PGE,PV,c-si,fixed-tilt,180,15,,2.2,3.1,greenfield,non-agrivoltaic,0.446075
402630,single,61832,OR,Marion,45.129636,-122.899589,42561,20210513,4,Interstate Solar,2017,PGE,PV,c-si,fixed-tilt,180,25,,2.2,3.2,greenfield,non-agrivoltaic,0.114111
402633,single,61835,OR,Polk,45.053049,-123.609457,36039,20200227,4,Grand Ronde Solar,2017,PGE,PV,c-si,fixed-tilt,180,15,,2.2,3.1,greenfield,es,0.34359
402641,multi,61854,OR,Baker,44.7018,-117.763861,280892,20220901,4,Baker City Solar,2020,IPCO,PV,c-si,single-axis,182,0,,15,19,greenfield,non-agrivoltaic,-0.045728
402642,single,61855,OR,Malheur,43.950218,-117.072991,80491,20220522,4,Morgan Solar Center,2020,IPCO,PV,c-si,single-axis,180,0,,3,3.7,greenfield,non-agrivoltaic,-0.504917
